# Synthetic camera emulation of a tracked double pendulum - NOT real footage.
# Generated by scripts/generate-hardware-fixture.ts (seeded, reproducible).
# Schema matches a video-tracker export: pixel coordinates, y-down, pivot offset.
time,x1,y1,x2,y2
1.516667,960.88,413.17,967.84,541.77
1.533333,959.16,412.04,966.31,543.26
1.550000,959.20,412.95,963.37,543.29
1.566667,958.56,412.63,962.49,542.69
1.583333,957.90,411.71,960.03,541.76
1.600000,955.44,414.38,957.04,542.08
1.616667,955.81,413.90,955.54,544.04
1.633333,954.86,412.64,954.90,541.20
1.650000,953.65,413.05,952.65,542.87
1.666667,953.43,411.81,951.44,542.85
1.683333,952.39,412.19,948.68,542.14
1.700000,951.39,413.58,948.20,542.75
1.716667,952.25,413.01,946.95,542.35
1.733333,949.70,412.46,946.28,542.45
1.750000,950.94,413.16,944.45,541.30
1.766667,950.20,412.81,943.87,542.06
1.783333,949.51,413.07,942.63,542.07
1.800000,950.58,411.49,943.06,542.18
1.816667,949.95,413.24,941.61,541.36
1.833333,948.88,412.88,941.48,542.97
1.850000,950.94,412.48,941.60,542.45
1.866667,949.27,412.15,940.65,541.94
1.883333,949.64,412.60,940.99,542.40
1.900000,950.47,412.22,941.41,541.56
1.916667,951.18,412.43,941.32,541.77
1.933333,951.07,413.33,941.68,542.31
1.950000,949.62,411.97,942.13,541.99
1.966667,951.03,412.06,943.13,541.76
1.983333,952.90,413.52,943.59,542.82
2.000000,952.62,412.03,943.29,541.82
2.016667,953.07,412.46,944.21,541.28
2.033333,954.51,412.19,945.64,541.90
2.050000,954.45,413.93,945.53,543.00
2.066667,955.45,412.99,946.78,541.50
2.083333,956.49,412.42,947.64,540.47
2.100000,956.73,413.29,948.52,542.95
2.116667,956.98,411.80,950.11,542.15
2.133333,957.61,412.43,951.54,542.26
2.150000,959.36,413.16,953.34,543.23
2.166667,958.04,412.80,953.75,543.00
2.183333,960.48,413.79,955.29,541.95
2.200000,959.07,413.65,958.16,543.16
2.216667,961.49,411.28,956.79,541.75
2.233333,961.29,412.64,959.38,542.72
2.250000,961.25,412.53,960.54,542.15
2.266667,962.83,413.27,962.58,541.46
2.283333,963.53,414.15,963.06,540.58
2.300000,962.98,413.90,963.61,542.45
2.316667,964.07,412.10,964.30,540.85
2.333333,964.20,412.32,965.82,543.39
2.350000,963.58,413.74,966.43,543.89
2.366667,966.04,412.42,968.19,541.96
2.383333,966.86,412.10,968.48,542.09
2.400000,966.13,411.93,969.16,543.14
2.416667,966.00,412.05,969.93,542.13
2.433333,965.98,412.36,970.48,543.23
2.450000,965.40,412.83,970.32,541.09
2.466667,966.49,413.72,970.20,541.51
2.483333,964.87,413.18,971.26,541.81
2.500000,966.57,412.52,972.02,541.35
2.516667,966.39,411.50,972.92,542.15
2.533333,966.67,411.91,972.12,542.99
2.550000,966.16,413.74,971.91,541.79
2.566667,967.23,412.78,971.66,542.77
2.583333,966.75,412.86,971.22,542.67
2.600000,965.15,412.09,971.82,542.22
2.616667,965.39,412.93,971.93,543.63
2.633333,964.94,412.34,971.08,541.00
2.650000,966.44,412.68,970.82,541.81
2.666667,965.24,412.22,970.11,542.31
2.683333,964.00,414.63,970.43,541.47
2.700000,963.08,412.94,970.42,542.17
2.716667,963.69,413.09,968.68,543.13
2.733333,962.54,413.50,967.05,541.68
2.750000,962.11,412.56,967.21,542.46
2.766667,962.05,412.48,966.72,543.42
2.783333,960.82,412.00,965.63,542.37
2.800000,961.74,413.13,963.97,541.55
2.816667,960.32,411.78,963.36,543.48
2.833333,960.62,411.70,964.15,541.67
2.850000,960.87,412.66,962.86,542.13
2.866667,960.85,413.43,962.29,542.53
2.883333,959.67,413.80,960.70,543.64
2.900000,957.45,413.07,960.81,542.98
2.916667,957.92,413.39,960.60,542.82
2.933333,957.68,413.12,958.63,543.42
2.950000,957.98,412.88,958.13,542.47
2.966667,957.49,413.12,958.93,543.21
2.983333,957.13,413.01,956.29,542.07
3.000000,958.06,412.20,956.00,541.63
3.016667,957.17,412.05,955.69,541.90
3.033333,956.22,412.21,955.04,542.47
3.050000,955.90,412.04,954.10,541.39
3.066667,954.71,413.65,954.91,542.51
3.083333,956.18,412.76,954.57,541.78
3.100000,955.83,413.06,952.20,541.30
3.116667,955.52,413.30,952.19,541.97
3.133333,955.16,412.43,952.49,541.15
3.150000,955.48,412.68,953.14,542.12
3.166667,956.02,412.86,954.09,542.49
3.183333,954.92,413.07,952.27,542.30
3.200000,955.72,411.85,952.40,541.93
3.216667,955.45,413.60,953.52,541.07
3.233333,956.82,413.85,952.15,542.13
3.250000,954.89,413.99,950.41,543.39
3.266667,956.92,412.28,952.47,542.44
3.283333,957.29,412.97,953.62,542.87
3.300000,957.51,413.03,953.04,541.25
3.316667,957.68,411.62,952.89,542.45
3.333333,957.46,414.11,955.48,542.61
3.350000,957.34,412.45,952.84,542.83
3.366667,958.24,412.20,954.96,542.84
3.383333,957.69,412.53,955.00,542.65
3.400000,958.80,412.46,954.75,542.46
3.416667,957.91,412.71,955.60,542.23
3.433333,958.92,411.75,955.97,542.39
3.450000,959.71,411.75,956.41,542.57
3.466667,958.76,413.13,955.90,542.74
3.483333,959.49,413.11,957.24,542.80
3.500000,959.73,413.40,957.20,542.32
3.516667,958.64,411.80,958.27,541.85
3.533333,960.16,412.86,958.70,541.18
3.550000,960.77,412.69,959.18,542.24
3.566667,960.37,412.03,960.00,543.75
3.583333,960.96,412.37,961.78,542.16
3.600000,961.57,412.28,960.39,541.69
3.616667,960.90,413.55,960.79,541.39
3.633333,961.30,413.07,960.69,542.22
3.650000,962.68,413.21,961.87,541.95
3.666667,961.92,411.77,961.97,542.72
3.683333,962.71,412.42,962.36,542.50
3.700000,963.36,414.58,963.92,542.90
3.716667,963.09,413.17,962.51,542.97
3.733333,962.90,412.83,964.65,541.51
3.750000,963.19,412.59,963.85,542.44
3.766667,964.24,413.63,964.71,543.20
3.783333,962.44,414.23,964.77,542.07
3.800000,962.08,412.74,964.84,542.94
3.816667,962.53,414.12,964.60,542.12
3.833333,962.61,412.18,963.97,542.47
3.850000,961.99,413.89,965.37,542.98
3.866667,961.27,412.31,966.06,543.01
3.883333,962.27,411.73,965.41,542.76
3.900000,961.76,412.87,966.10,542.82
3.916667,963.77,412.37,964.43,542.03
3.933333,962.27,412.32,965.03,542.22
3.950000,961.84,413.32,966.03,542.25
3.966667,961.80,413.26,964.18,542.05
3.983333,962.20,412.69,965.57,542.20
4.000000,961.15,413.25,963.28,542.54
4.016667,961.13,412.28,964.99,542.79
4.033333,960.83,412.39,964.09,542.57
4.050000,961.28,413.01,964.30,541.95
4.066667,961.58,412.72,963.02,543.17
4.083333,960.56,412.58,963.00,541.32
4.100000,960.67,413.26,962.24,541.77
4.116667,961.36,412.89,963.19,542.39
4.133333,959.37,413.30,962.33,542.59
4.150000,960.03,412.43,962.26,542.92
4.166667,960.35,412.51,961.05,542.08
4.183333,958.06,413.18,961.11,542.20
4.200000,958.82,413.15,960.40,543.39
4.216667,958.78,414.01,960.63,544.33
4.233333,960.87,413.14,960.31,542.14
4.250000,959.69,413.00,958.64,542.85
4.266667,959.57,412.30,958.76,543.14
4.283333,959.81,414.39,958.97,542.52
4.300000,959.03,413.97,958.55,542.59
4.316667,957.96,412.62,958.66,541.16
4.333333,959.54,412.22,959.01,542.41
4.350000,958.54,412.93,959.89,543.37
4.366667,959.32,412.76,957.94,542.51
4.383333,958.45,413.50,958.01,543.29
4.400000,958.48,413.46,958.77,542.15
4.416667,960.32,412.57,956.64,542.07
4.433333,958.66,414.38,956.81,543.76
4.450000,959.77,413.38,957.17,542.14
4.466667,957.65,412.81,956.64,542.60
4.483333,957.99,412.88,958.67,542.12
4.500000,959.80,413.01,957.93,543.13
4.516667,958.88,412.88,957.36,541.62
4.533333,957.81,412.69,956.43,541.66
4.550000,959.19,413.27,957.83,542.57
4.566667,959.77,411.75,956.41,542.33
4.583333,958.33,413.29,957.23,543.37
4.600000,960.15,412.95,957.23,542.74
4.616667,958.16,413.10,955.57,542.09
4.633333,958.81,413.67,956.72,543.01
4.650000,958.11,413.74,957.32,544.01
4.666667,958.64,412.72,957.16,542.38
4.683333,959.34,411.37,958.90,542.45
4.700000,959.60,412.19,956.80,542.57
4.716667,957.82,412.68,957.34,541.85
4.733333,958.47,412.94,958.49,542.26
4.750000,959.15,412.37,957.62,542.89
4.766667,958.99,412.99,958.37,543.13
4.783333,959.66,412.56,958.64,541.77
4.800000,960.04,413.51,957.11,543.01
4.816667,960.35,411.61,959.07,542.88
4.833333,960.13,412.92,959.04,542.83
4.850000,960.54,412.85,960.13,541.72
4.866667,961.04,413.51,958.69,542.13
4.883333,960.46,411.41,959.53,541.82
4.900000,961.10,413.25,959.23,542.45
4.916667,961.01,413.67,960.14,542.65
4.933333,959.73,412.37,959.67,541.98
4.950000,960.04,413.47,962.16,543.14
4.966667,960.90,413.55,960.75,542.16
4.983333,961.52,413.18,962.03,541.67
5.000000,960.46,412.60,960.87,542.06
5.016667,961.47,413.23,961.15,543.37
5.033333,961.70,412.92,961.22,542.19
5.050000,960.38,411.75,961.28,542.77
5.066667,962.37,412.66,960.80,541.25
5.083333,960.89,413.08,960.94,540.84
5.100000,960.91,413.71,961.00,542.98
5.116667,961.31,413.43,961.85,542.21
5.133333,960.88,412.75,961.91,542.78
5.150000,961.31,412.17,961.18,541.21
5.166667,962.37,412.67,962.56,542.51
5.183333,960.81,412.24,962.79,542.21
5.200000,961.33,413.16,963.03,542.49
5.216667,960.40,413.28,961.38,543.48
5.233333,960.42,413.53,962.10,542.01
5.250000,961.04,412.78,961.08,541.78
5.266667,961.51,412.30,961.75,542.39
5.283333,960.36,413.05,961.33,542.79
5.300000,960.64,413.22,961.03,542.45
5.316667,959.63,412.30,961.67,544.31
5.333333,959.99,412.11,961.84,543.18
5.350000,959.75,411.64,960.64,542.96
5.366667,960.79,412.53,961.68,542.32
5.383333,959.86,413.74,960.28,542.01
5.400000,959.61,412.15,962.11,541.94
5.416667,959.77,412.50,961.10,543.09
5.433333,959.04,412.31,960.98,541.74
5.450000,960.70,411.83,961.22,542.69
5.466667,961.00,413.02,960.54,542.95
5.483333,959.97,412.94,960.43,543.30
5.500000,960.70,413.11,960.74,540.86
5.516667,959.54,413.60,960.29,541.79
5.533333,960.31,413.97,959.66,542.05
5.550000,960.68,412.76,960.39,542.06
5.566667,958.60,411.91,960.29,543.20
5.583333,959.22,413.29,959.98,542.33
5.600000,959.69,411.65,959.99,541.60
5.616667,959.81,413.23,958.77,541.06
5.633333,959.38,412.57,959.04,542.90
5.650000,959.50,413.33,958.95,543.25
5.666667,959.36,411.55,959.35,543.07
5.683333,959.42,413.77,959.55,543.28
5.700000,960.73,413.56,960.15,542.30
5.716667,959.76,412.50,959.42,541.69
5.733333,959.82,414.06,958.77,541.63
5.750000,960.08,413.10,960.47,542.36
5.766667,958.64,413.15,958.13,542.50
5.783333,960.02,412.57,957.88,542.17
5.800000,959.59,412.65,959.03,542.15
5.816667,959.37,412.68,958.41,542.59
5.833333,959.16,413.11,958.75,543.10
5.850000,960.27,412.68,959.31,542.25
5.866667,959.82,413.52,959.43,542.35
5.883333,959.27,413.63,958.36,543.07
5.900000,958.18,411.92,959.59,543.93
5.916667,958.72,412.80,959.31,542.29
5.933333,959.83,412.17,959.24,542.81
5.950000,960.10,413.30,959.13,542.13
5.966667,958.60,412.46,957.67,542.06
5.983333,959.14,412.48,957.51,542.07
6.000000,958.45,412.46,959.32,542.21
